project_name,path,lineno,parameter,value
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/main.py,198,top_k,20
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,776,temperature,0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,776,max_tokens,6000
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,417,model,text-embedding-ada-002
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,371,temperature,0.0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,96,top_k,20
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,516,top_k,50
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,565,temperature,0.0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,565,max_tokens,6000
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,585,temperature,0.0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,585,max_tokens,2000
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,607,temperature,0.0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,607,max_tokens,2000
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,629,top_p,1
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,629,frequency_penalty,0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,629,presence_penalty,0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/utils.py,653,model,gpt-3.5-turbo-16k
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/talk_to_index.py,18,top_k,50
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/talk_to_index.py,42,temperature,0
INSIGHT,/home/aolmedo/research/repos/projects/INSIGHT/talk_to_index.py,42,max_tokens,2000
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/initialization.py,53,temperature,0.6
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/initialization.py,63,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/initialization.py,89,temperature,0.5
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Behavioral Screen.py,98,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Behavioral Screen.py,108,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Behavioral Screen.py,133,temperature,0.5
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Professional Screen.py,78,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Professional Screen.py,87,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Professional Screen.py,113,temperature,0.8
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Resume Screen.py,88,temperature,0.5
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Resume Screen.py,98,temperature,0.7
GPTInterviewer,/home/aolmedo/research/repos/projects/GPTInterviewer/pages/Resume Screen.py,126,temperature,0.5
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/scripts/inference/text_generation_webui/server.py,84,temperature,1
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/scripts/inference/text_generation_webui/server.py,84,top_p,1
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/scripts/inference/text_generation_webui/server.py,84,repetition_penalty,1
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/scripts/inference/text_generation_webui/server.py,84,top_k,0
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/models/visualcla/modeling_utils.py,36,top_p,0.9
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/models/visualcla/modeling_utils.py,36,top_k,40
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/models/visualcla/modeling_utils.py,36,temperature,0.5
Visual-Chinese-LLaMA-Alpaca,/home/aolmedo/research/repos/projects/Visual-Chinese-LLaMA-Alpaca/models/visualcla/modeling_utils.py,36,repetition_penalty,1.1
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/lessons/hybrid_matcher.py,39,top_k,20
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/lessons/hybrid_matcher.py,28,top_k,20
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/commands/rag.py,51,top_k,3
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/util/__init__.py,189,model,gpt-4
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/util/replay.py,36,top_k,20
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/util/replay.py,120,top_k,5
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/cli/util.py,1261,max_tokens,5
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/eval/dspy/experiments.py,499,model,anthropic/claude-sonnet-4-20250514
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/eval/dspy/prompt_optimizer.py,119,model,anthropic/claude-haiku-4-5
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/eval/agents/swebench.py,158,model,openrouter/qwen/qwen-2.5-coder-32b-instruct
