ID;Name;Description;URL;Topics
620936652;gpt4free;The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5;git://github.com/xtekky/gpt4free.git;chatbot,chatbots,chatgpt,chatgpt-4,chatgpt-api,chatgpt-free,chatgpt4,deepseek,deepseek-api,deepseek-r1,gpt,gpt-4,gpt-4o,gpt4,gpt4-api,language-model,openai,openai-api,openai-chatgpt,reverse-engineering
771302083;OpenHands;🙌 OpenHands: Code Less, Make More;git://github.com/OpenHands/OpenHands.git;agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai
599547518;vllm;A high-throughput and memory-efficient inference and serving engine for LLMs;git://github.com/vllm-project/vllm.git;amd,blackwell,cuda,deepseek,deepseek-v3,gpt,gpt-oss,inference,kimi,llama,llm,llm-serving,model-serving,moe,openai,pytorch,qwen,qwen3,tpu,transformer
646410686;LLaMA-Factory;Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024);git://github.com/hiyouga/LLaMA-Factory.git;agent,ai,deepseek,fine-tuning,gemma,gpt,instruction-tuning,large-language-models,llama,llama3,llm,lora,moe,nlp,peft,qlora,quantization,qwen,rlhf,transformers
660551251;MetaGPT;🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming;git://github.com/FoundationAgents/MetaGPT.git;agent,gpt,llm,metagpt,multi-agent
806709826;ChatTTS;A generative speech model for daily dialogue.;git://github.com/2noise/ChatTTS.git;agent,chat,chatgpt,chattts,chinese,chinese-language,english,english-language,gpt,llm,llm-agent,natural-language-inference,python,text-to-speech,torch,torchaudio,tts
621799276;Langchain-Chatchat;Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ;git://github.com/chatchat-space/Langchain-Chatchat.git;chatbot,chatchat,chatglm,chatgpt,embedding,faiss,fastchat,gpt,knowledge-base,langchain,langchain-chatglm,llama,llm,milvus,ollama,qwen,rag,retrieval-augmented-generation,streamlit,xinference
631567741;GPT_API_free;Free ChatGPT&DeepSeek API Key，免费ChatGPT&DeepSeek API。免费接入DeepSeek API和GPT4 API，支持 gpt | deepseek | claude | gemini | grok 等排名靠前的常用大模型。;git://github.com/chatanywhere/GPT_API_free.git;api,chatgpt,claude,deepseek,gemini,gpt,grok
778431525;graphrag;A modular graph-based Retrieval-Augmented Generation (RAG) system;git://github.com/microsoft/graphrag.git;gpt,gpt-4,gpt4,graphrag,llm,llms,rag
837911756;Jobs_Applier_AI_Agent_AIHawk;AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.;git://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk.git;agent,application-resume,artificial-intelligence,automate,automation,bot,chatgpt,chrome,gpt,human-resources,job,jobs,jobsearch,jobseeker,opeai,python,resume,scraper,scraping,selenium
866513204;LightRAG;"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""";git://github.com/HKUDS/LightRAG.git;genai,gpt,gpt-4,graphrag,knowledge-graph,large-language-models,llm,rag,retrieval-augmented-generation
764723738;skyvern;Automate browser based workflows with AI;git://github.com/Skyvern-AI/skyvern.git;ai,api,automation,browser,browser-automation,computer,gpt,llm,playwright,powerautomate,puppeteer,python,rpa,selenium,vision,workflow
627480054;DB-GPT;AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents;git://github.com/eosphoros-ai/DB-GPT.git;agents,bgi,database,deepseek,gpt,gpt-4,hacktoberfest,llm,private,rag,security,vicuna
393874035;RWKV-LM;"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding.";git://github.com/BlinkDL/RWKV-LM.git;attention-mechanism,chatgpt,deep-learning,gpt,gpt-2,gpt-3,language-model,linear-attention,lstm,pytorch,rnn,rwkv,transformer,transformers
575865240;AstrBot;✨ Agentic IM ChatBot Infrastructure ✨ Integration with multiple IMs, easy-to-use plugin system, supports OpenAI, Gemini, Anthropic, Dify, Coze, built-in Knowledge Base, Agent. ✨ 一站式大模型聊天机器人平台及开发框架 ✨ 多消息平台（QQ, Telegram, 企微, 飞书, 钉钉等）集成，易用的插件系统，支持接入 OpenAI, Gemini, Anthropic, Dify, Coze, 阿里云百炼应用等平台，内置知识库、Agent 智能体;git://github.com/AstrBotDevs/AstrBot.git;agent,ai,chatbot,chatgpt,docker,gemini,gpt,llama,llm,mcp,openai,python,qq,qqbot,qqchannel,telegram
616751895;awesome-chatgpt-zh;ChatGPT 中文指南🔥，ChatGPT 中文调教指南，指令指南，应用开发指南，精选资源清单，更好的使用 chatGPT 让你的生产力 up up up! 🚀;git://github.com/EmbraceAGI/awesome-chatgpt-zh.git;agi,ai,awesome,awesome-list,chat-gpt,chatglm,chatgpt,chatgpt3,chatgpt35-turbo,claude,deeplearning,gpt,gpt-4,langchain,openai,openai-chatgpt,prompt,prompt-engineering,tools
660489378;promptflow;Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.;git://github.com/microsoft/promptflow.git;ai,ai-application-development,ai-applications,chatgpt,gpt,llm,prompt,prompt-engineering
502482803;petals;🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading;git://github.com/bigscience-workshop/petals.git;bloom,chatbot,deep-learning,distributed-systems,falcon,gpt,guanaco,language-models,large-language-models,llama,machine-learning,mixtral,neural-networks,nlp,pipeline-parallelism,pretrained-models,pytorch,tensor-parallelism,transformer,volunteer-computing
277277803;gpt-neo;An implementation of model parallel GPT-2 and GPT-3-style models using the mesh-tensorflow library.;git://github.com/EleutherAI/gpt-neo.git;gpt,gpt-2,gpt-3,language-model,transformers
618276831;GPTCache;Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ;git://github.com/zilliztech/GPTCache.git;aigc,autogpt,babyagi,chatbot,chatgpt,chatgpt-api,dolly,gpt,langchain,llama,llama-index,llm,memcache,milvus,openai,redis,semantic-search,similarity-search,vector-search
